date_stamp,date,day,month,year,city,state,location,geo_longitude,geo_latitude,geo_accuracy,shape,summary
41969,11/26/14,26,11,2014,Lincolnton,NC,"Lincolnton, NC",-81.2545251,35.473745,city,Triangle,Triangular light pattern. low..silent. flying in deliberate path of cover
41968,11/25/14,25,11,2014,Ft. Lauderdale,FL,"Ft. Lauderdale, FL",-80.1433786,26.1223084,city,Light,Bluish light over Ft. Lauderdale seen many times in the same area.
41968,11/25/14,25,11,2014,Islamorada (Keys),FL,"Islamorada (Keys), FL",-80.5676932,24.9606467,police,Light,Series of five orange lights.
41968,11/25/14,25,11,2014,Bartlett,TN,"Bartlett, TN",-89.8739753,35.2045329,city,Circle,5 orange glowing balls that traveled the same path of each other.
41968,11/25/14,25,11,2014,Oak Hill,WV,"Oak Hill, WV",-81.1487136,37.9723339,city,Triangle,Giant levitating triangle followed our car with four people inside from Stone Cliff to Oak Hill.
41968,11/25/14,25,11,2014,Oklahoma City,OK,"Oklahoma City, OK",-97.5170536,35.4729886,city,Circle,Group of light orbs in sky during the day.
41968,11/25/14,25,11,2014,Marmet,WV,"Marmet, WV",-81.567064,38.2453787,city,Cylinder,"11-25-14. Getting gas at Exxon gas station in Marmet, WV, as my truck was facing N at 10:23AM, I notice two identical small objs."
41968,11/25/14,25,11,2014,Pearland,TX,"Pearland, TX",-95.2864299,29.5639758,city,Circle,UFO spotted.
41968,11/25/14,25,11,2014,Heber Springs,AR,"Heber Springs, AR",-92.01704753,35.506733,city,Light,Saw these lights after witnessing a few commercial aircraft of some sort flying in distance. Wasnt plane. No markers or lights were see
41968,11/25/14,25,11,2014,Lithia,FL,"Lithia, FL",-81.5606139,30.296912,residential,Circle,I saw on 11/25/14 at 4 am 3 lights at about cloud height moving slowly then they just held still for about 10 minutes. 2 of them dimmed
41967,11/24/14,24,11,2014,Rochester,NY,"Rochester, NY",-77.61068605,43.1854754,city,Unknown,Saw something shoot across the sky extremely fast.
41967,11/24/14,24,11,2014,Auburn Hills,MI,"Auburn Hills, MI",-83.23093751,42.6647495,city,Triangle,"11:17pm on 11,2014 I was driving east on Walton Blvd in Auburn Hills just over the bridge, where the neighborhoods start and out"
41967,11/24/14,24,11,2014,Altoona,PA,"Altoona, PA",-78.394736,40.518681,city,Disk,"Orange, disc-shaped object with a tail appeared, curved slightly to the right, then disappeared. Made a sound."
41967,11/24/14,24,11,2014,Dayton,OH,"Dayton, OH",-84.1916069,39.7589478,city,Triangle,Diamond shape with tail of lights and triangle ufo.
41967,11/24/14,24,11,2014,Manassas,VA,"Manassas, VA",-77.48244413,38.744947,city,Unknown,"Object hovering over homes in Manassas, VA."
41967,11/24/14,24,11,2014,Hockessin,DE,"Hockessin, DE",-75.6966001,39.7876112,administrative,Oval,Bright lights hovering in air dimmed and flew eastward.
41967,11/24/14,24,11,2014,Los Angeles,CA,"Los Angeles, CA",-118.2427025,34.0536781,city,Light,Two rapidly blinking red lights in the west at dusk over Los Angeles.
41967,11/24/14,24,11,2014,Hatteras,NC,"Hatteras, NC",-75.6901606,35.2193424,hamlet,Triangle,Red lights form a triangle.
41967,11/24/14,24,11,2014,Spring,TX,"Spring, TX",-95.4172549,30.0798826,town,Egg,"There was a hovering silver egg shaped object above Spring, Texas."
41967,11/24/14,24,11,2014,Rohnert Park,CA,"Rohnert Park, CA",-122.7018982,38.3433625,city,Circle,Lights inside lights.
41966,11/23/14,23,11,2014,Oskaloosa,IA,"Oskaloosa, IA",-92.6443593,41.296395,city,Unknown,"I was watching a movie and noticed out of the corner of my eye, through the window, something in the sky. I ran to the window."
41966,11/23/14,23,11,2014,Waterloo,NY,"Waterloo, NY",-76.8627368,42.9047884,administrative,Light,"Extremely bright white, large, stationary light in west. overcast night. No flashing or movement. Went into store, it was gone when we"
41966,11/23/14,23,11,2014,Peoria,IL,"Peoria, IL",-89.5891008,40.6938609,city,Fireball,It was Nov. 23 around 9 o'clock I'm a sky dweller so I look up at the uh sky alot very often u know and this time I uh see a star u k
